# number of LED, resolution of motor encoder 
32, 380 
233 133 98 
228 130 96 
227 127 92 
231 127 90 
238 133 92 
224 144 115 
255 210 196 
238 180 158 
222 172 149 
247 241 246 
248 244 249 
203 143 119 
233 111 75 
231 112 63 
231 108 64 
230 107 63 
229 106 62 
230 105 61 
229 104 59 
235 158 131 
234 156 127 
234 157 125 
230 155 123 
225 151 125 
252 206 189 
229 153 130 
227 147 118 
227 161 142 
241 205 189 
223 184 169 
232 143 109 
237 146 109 
230 137 98 
228 133 94 
229 131 91 
233 128 85 
227 135 100 
232 135 99 
243 200 191 
245 232 218 
247 221 207 
249 243 244 
249 245 250 
237 229 222 
205 115 80 
227 111 70 
234 109 65 
